title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【鬼滅の刃】コラボカフェに行ってきました!!スイパラコラボグッズを大量に買ってきたので紹介します！総額○○万円!?,/watch?v=73LOOtZkqR0,356417,1D&amp;ゆーぽん,650000,,175641,203
彼氏と撮った写真を大公開します。,/watch?v=0ZClV3wyv60,447719,1D&amp;ゆーぽん,650000,,175641,255
タイトルなし,/watch?v=x7QGwWM-jCU,69677,1D&amp;ゆーぽん,650000,,175641,40
現代女子高生のメイクポーチの中身が衝撃的だった.....,/watch?v=Om79gO6x20s,109575,1D&amp;ゆーぽん,650000,,175641,62
また被ってしまった...!!ゆーぽんはなにをしているのでしょうか？,/watch?v=7ufTrQTn4hc,131463,1D&amp;ゆーぽん,650000,,175641,75
【鬼滅の刃】アニメイトじゃないところで見つけた大人気なものを6900円分買ってきた！！,/watch?v=fdOeCffnbgc,254127,1D&amp;ゆーぽん,650000,,175641,145
【文房具】雑貨屋さんでめっちゃ可愛い文房具を見つけたので紹介します！！,/watch?v=eX87BLxaA9E,155244,1D&amp;ゆーぽん,650000,,175641,88
みなさんにお伝えしなければいけないお話があります。,/watch?v=t6mFFN-s4Lk,149338,1D&amp;ゆーぽん,650000,,175641,85
【鬼滅の刃】推しカラーで超簡単にDAISOで揃えてかわいいリボンが作れちゃう！！！鬼滅の刃のキャラクターカラーで作ってみた！,/watch?v=HR9ISDSsLxs,492064,1D&amp;ゆーぽん,650000,,175641,280
髪染めました！！,/watch?v=-uQ7G_frzU8,165106,1D&amp;ゆーぽん,650000,,175641,94
もっとおかしなオトナ買い！！,/watch?v=hva5ja6mUhY,71187,1D&amp;ゆーぽん,650000,,175641,41
【鬼滅の刃】新発売のウエハースを40個大量開封！まさかの奇跡が起こってしまった!!!!,/watch?v=u3AeC-Hl8sw,1083330,1D&amp;ゆーぽん,650000,,175641,617
【激推し】毎日朝と夜に使ってるスキンケア商品をお見せしちゃいます！ザラザラ毛穴がツルツルになった激推し商品！,/watch?v=39hUl-63gIw,140992,1D&amp;ゆーぽん,650000,,175641,80
みなさん結果の方どうでしたか...??,/watch?v=4vHsYJcV-qQ,70188,1D&amp;ゆーぽん,650000,,175641,40
【鬼滅の刃】1万1千円分の鬼滅グッズ購入品紹介！大切なお知らせもあります。,/watch?v=v8tbpKugozk,288114,1D&amp;ゆーぽん,650000,,175641,164
【新大久保】韓国っぽカフェ巡りをした！☕️「JKの1日に密着」,/watch?v=9hiwink7CM8,65783,1D&amp;ゆーぽん,650000,,175641,37
【新発売】チョコエッグどうぶつの森20箱開封！！！そしたらなんとシークレットが？！,/watch?v=lRKNu8ajyVY,351797,1D&amp;ゆーぽん,650000,,175641,200
