,Unnamed: 0,channel_url,channel_name
268,/channel/UCJ1XeP1hg9K-8XJN9OdApjw,Stella ASMR,
289,/channel/UCo9ZZ04kIhN_8xGxvnjaduQ,Stephanie Soo,
290,/channel/UCW6V8WE201_oJ6QdwPQ0PEQ,GuajBoya ASMR,
308,/channel/UCoaegtPODTjRaaQdEND2m4Q,N.E Let's Eat,
309,/channel/UCqrBKQHQVEvD2Q9FP0DCP2g,benny blanco,
324,/channel/UCbLMzAQ7T2L8NlCq1uZ6Z2Q,Army,
326,/user/slimjimlisa,HungryBang,
331,/user/ShayMitchellOfficial,Shay Mitchell,
334,/channel/UCSJ8dLKhlW1PhGtk2E1y0fA,Kluna Tik 1,
338,/channel/UC3JYTzRVa6gK9XWTXxJ7taw,Kitten Street,
343,/channel/UCc7v5yYC_mviB1_fLuB-GRw,MINEE EATS,
352,/user/SSSniperWolf,SSSniperWolf,
356,/channel/UCC8Di_yHmWS2CwkhejC62LQ,Kluna Tik 2,
368,/user/Alozerk,Ryan Sylvia,
377,/channel/UCfUVc0pw8y_JxmHroUqQZyA,ASMR Lilibu,
384,/channel/UC2HGblbqhP-mAg_eyYSRJmA,Wong Olivia,
388,/channel/UCRU_t1F2o19lRjG-IwLeb5Q,Louie ASMR 루이,
391,/channel/UCCg6x6Y_biWoF5Wu-jQYoug,Evil Hero,
416,/channel/UCX--mGSg0UwDjl7MDL8H5Jg,BabbleTop,
421,/user/klunatik,Kluna Tik,
424,/user/houseofhaloNL,Without Music,
425,/channel/UCuN7bBPJWKgAeNY1KHWWt0A,NamFan ASMR,
430,/channel/UC1QNo5XHHHGS2QrKoLDfc6g,Sufficient Whispers,
437,/channel/UCVcEy-q_8Z1WUGozW5t9wyg,EGGCELLENT,
440,/user/jokerchaps,Cuckoo,
441,/channel/UCLzfiWX5EKAeE_5v5D3SPBg,Luna Soleil ASMR,
443,/channel/UCncggJ8iyD73FLtqPC7foaw,OTF CHANNEL,
446,/channel/UCG_Nlvx1EoxkeZkuLjelWdA,Bloveslife,
454,/channel/UC7pmj7FfhlmhtvDotEwHJAQ,LilBang,
476,/user/JerryLaVigneJr,Jerry,
477,/channel/UCgnFDeEB2ovkov4kcHaBhcQ,Mr Plus ASMR,
