title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
ASMR Eat Ice| Ice Rose Shavedice&Powderyice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=DfVsMKclxYg,36008,Eat Ic,17400,,41918,86
ASMR Eat Ice| Shavedice&Powderyice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=w1Yw9O1TpLk,12711,Eat Ic,17400,,41918,30
ASMR Eat Ice| Square Shape Shavedice & Hard | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=XDYXlKuoI7g,37258,Eat Ic,17400,,41918,89
ASMR Eat Ice| Shavedice&Powderyice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=XDuB37cw5Dw,16890,Eat Ic,17400,,41918,40
ASMR Eat Ice| Shavedice&Powderyice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=-H3ezPuWa_I,8253,Eat Ic,17400,,41918,20
ASMR Eat Ice| Honeycomb Shape Shavedice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=giOLLeQDEGI,24326,Eat Ic,17400,,41918,58
ASMR Eat Ice| Ice Sticks  | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=w2EuTQpdJfU,25474,Eat Ic,17400,,41918,61
ASMR Eat Ice| Shavedice&Powderyice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=3i9B1BpUvUU,15455,Eat Ic,17400,,41918,37
ASMR Eat Ice| Oval Shape Shavedice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=d65h8Ok6Y2o,15246,Eat Ic,17400,,41918,36
ASMR Eat Ice| Shavedice&Powderyice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=ILYQtfyT1iQ,32386,Eat Ic,17400,,41918,77
ASMR Eat Ice| Shavedice&Powderyice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=tPAiigtGLsU,110640,Eat Ic,17400,,41918,264
ASMR Eat Ice| Round Shape Shavedice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=jXZDxPLhBdw,16344,Eat Ic,17400,,41918,39
ASMR Eat Ice| Heart-shaped&Shavedice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=Mj78yJB4PM0,23604,Eat Ic,17400,,41918,56
ASMR Eat Ice| Square shape ice & Shavedice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=eUJa6xu1SuU,11476,Eat Ic,17400,,41918,27
ASMR Eat Ice| Square shape ice & Shavedice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=iniBxrIVFZg,32504,Eat Ic,17400,,41918,78
ASMR Eat Ice| Ice stick &Shavedice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=YxWTiBnqrVk,13687,Eat Ic,17400,,41918,33
ASMR Eat Ice| mini ice ball  | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=UeS_ZlA0n-Q,9011,Eat Ic,17400,,41918,21
ASMR Eat Ice| mini ice ball | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=bf9iegVdHJI,14048,Eat Ic,17400,,41918,34
ASMR Eat Ice|  Ice Sticks | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=mVmqclJ3ZXs,15297,Eat Ic,17400,,41918,36
ASMR Eat Ice| Cotton ice Supercooled water2 | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=o4TJkDRbHL0,268558,Eat Ic,17400,,41918,641
